Service,First Call Resolution,Actual Service,Ticket Description
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery",I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue?
Networking Service,False,Networking Service, - Sigh. - It's coming. Thank you. - Please keep working. - Thank you for doing so. - Sorry for being late. - And now This problem started occurring after the recent software update. I haven't made any other changes to the device.
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery","I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I've recently set up my own gateway. How can I tell if my This problem started occurring after the recent software update. I haven't made any other changes to the device."
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery", This problem started occurring after the recent software update. I haven't made any other changes to the device.
Student Printing,True,Student Printing,"I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? In which part: Desktop, Mobile, or Other applications. I've tried clearing the cache and data for the  app, but the issue persists."
Student Printing,True,Student Printing, Please assist. - Support - Website - Contact Us
Student Printing,True,Student Printing, You will no longer have it assigned to your account.
Software Usage and Availability,False,Software Usage and Availability," I've recently updated the firmware of my , and the issue started happening afterward. Could it be related to the update?"
Software Usage and Availability,False,Software Usage and Availability,"I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?"
Software Usage and Availability,False,Software Usage and Availability, We do not ask for a refund and do not have any more information.
Teaching and Audio Visual Support,False,Teaching and Audio Visual Support," 1. It is not allowed to purchase a product from an individual, or for a company in which there are no specific employees or employees, and all products have to I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."
Teaching and Audio Visual Support,False,Teaching and Audio Visual Support, You will no longer have it assigned to your account.
Lecture and AV Technologies,False,Lecture and AV Technologies,"I'm unable to access my  account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?"
Software Usage and Availability,False,Software Usage and Availability, I'm having an issue with the . Please assist.
