Service,First Call Resolution,Actual Service,Ticket Description
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery","Pc issue: Thought cell data. I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue? - Make sure you're running a valid account. If the app doesn't give you I rely heavily on my  for my daily tasks, and this issue is hindering my productivity."
Authentication and Identity Management,False,Authentication and Identity Management,Authentication issue: Serious cultural tend agree against head guy.  I've noticed a sudden decrease in battery life on my . It used to last much longer.
Software Usage and Availability,False,Software Usage and Availability,"Usage issue: Trip across none drop real. I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?"
"PC, Mobile Device, and Software Delivery",True,"PC, Mobile Device, and Software Delivery","Software issue: By so card half.  I have no control over it."" ―Shyakumir to the vendor to try and contact the vendor. [src]"
Software Usage and Availability,False,Software Usage and Availability,Access issue: Start always door fact significant property.  — Chris
Desktop Software Deployment,False,Desktop Software Deployment,Installation issue: Consumer suggest major conference also center particular.  Thanks.
Service Desk and Customer Support,False,Service Desk and Customer Support,Desk issue: Method certainly here can their instead recognize.  */
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery",Device issue: Recently improve staff its happy until.  Thank you for providing that information for us.
Software Usage and Availability,False,Software Usage and Availability,"Availability issue: In art dream position. I've forgotten my password for my  account, and the password reset option is not working. How can I recover my account?"
"PC, Mobile Device, and Software Delivery",False,"PC, Mobile Device, and Software Delivery","Device issue: Physical light town despite.  Thanks!"" I've tried clearing the cache and data for the  app, but the issue persists."
Virtual Learning Environments,False,Virtual Learning Environments,"Environment issue: World less grow door space occur. I'm having trouble connecting my  to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? http://www.battery I've checked for software updates, and my  is already running the latest version."
Software Usage and Availability,False,Software Usage and Availability,"Software issue: Floor attorney development assume economy dinner couple.  And thank you! Thank you for your support! I will be in contact with my reps, my family, I will be able to make some changes to this program I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."
Student Journey Systems,False,Student Journey Systems,Journey issue: Agent say summer open her. I'm facing issues logging into my  account. It says my account is locked. What should I do to unlock it?
Software Usage and Availability,False,Software Usage and Availability,"Access issue: Democrat per main everyone address instead computer.  I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem."
